,service_id,store_id,category,merchant_name,merchant_address,store_name,store_address,longitude,latitude,specific
1997,2272495289021830529,4417043687094158257,Mass Merchant,BÚN QUẬY PHÚ QUỐC,"210 Nguyễn Tri Phương, Phường 3, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",BÚN QUẬY PHÚ QUỐC - 210 NGUYỄN TRI PHƯƠNG,"210 Nguyễn Tri Phương, Phường 4, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",105.801179,21.0234959,Mass Merchant
2001,4723008963296772225,5086177688613037699,Mass Merchant,Cửa Hàng Phớ Đê,"14 Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",Cửa Hàng Phớ Phớ Đê,"14 Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",106.6669113,,Mass Merchant
2003,4843476092800105345,4719313531664228060,Mass Merchant,THE LAMBOO,"339D NGUYỄN CẢNH CHÂN, Phường Cầu Kho, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",thelamboo123,MOMO9LOY20181029,,,Mass Merchant
2004,4122517681616110465,1026740595764670968,Mass Merchant,LIDER STORE,"42/22E Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",LIDER STORE,"42/22E Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Mass Merchant
2006,9131182526470956674,8067473629658887135,Mass Merchant,Cafe Cú,"935 trường sa, Phường 11, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",coffeecu,MOMOWIAP20180928,,,Mass Merchant
2008,4730842644649314178,6428369174696209002,Mass Merchant,MR GOOD TEA,"212  Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội, VIỆT NAM",MR GOODTEA,"212 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội, VIỆT NAM",,,Mass Merchant
2010,7810845149940257154,7211551983222665583,Mass Merchant,THỊT XIÊN NƯỚNG,"93 Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",thitxiennuong1,MOMORNJG20180820,,,Mass Merchant
2012,4900714096283263619,7041966293900325177,Mass Merchant,HỘ KINH DOANH FULI,"78 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",HỘ KINH DOANH FULI,"78 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",105.8273802,21.0204645,Mass Merchant
2014,3449906192629220227,5320293464710694828,Mass Merchant,SINH TỐ TỶ MUỘI 1,"606/7 3 Tháng 2, Phường 14, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",sinhtotymuoi1,MOMOBYCV20181031,106.668848,10.799337,Mass Merchant
2016,1847605581805649539,2893637834008026087,Mass Merchant,HỘ KINH DOANH NGUYỄN MẠNH HÙNG 4,"65 Hồ Xuân Hương, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",gcoffeehung4,MOMOG3DU20181228,,,Mass Merchant
2020,7428433154130272132,2984451847169561859,Mass Merchant,XÔ VIẾT NGHỆ TĨNH,"235 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",vdl05,MOMOVAXD20180920,106.6689003,10.7567696,Mass Merchant
2022,1736427146273652356,556943538286508020,Mass Merchant,CÔNG TY TNHH MONICA,"ST-06 Khối Nhà E, Số 170 NGuyễn Lương Bằng, KP Riverside Residence, Phường Tân Phú, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",SHOP RIVERSIDE,"Shop ST-06 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",105.778211,21.015695,Mass Merchant
2028,4464845626820170629,656485539559523006,Mass Merchant,RYU CHA - SƯ VẠN HẠNH,"770 D Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",trasuaryucha2,MOMOUNAZ20181130,106.68714,10.773452,Mass Merchant
2032,3315835320223835013,891980960429512779,Coffee chains and Milk tea,Công Ty TNHH Golden Trust,"79 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Gongcha Hồ Tùng Mậu 2,"89-91 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Cafe
2057,2314655369686142597,2618304119995813659,Mass Merchant,Cháo Gia Truyền Thanh Tâm,"224c4 vĩnh hồ, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội, VIỆT NAM",chaothanhtam1,MOMODNGC20181021,105.8375562,21.0006548,Mass Merchant
2058,8203460032407458181,5534612987004759139,Mass Merchant,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3Sạch 246 Nguyễn Đình Chiểu,"246 Nguyễn Đình Chiểu, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",106.689536,10.775142,Mass Merchant
2072,7893517503223296389,3517612937201446835,Mass Merchant,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN,"Số 1 Mai Văn Vĩnh, Phường Tân Kiểng, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",MANA BAKERY AND DRINKS,"số 171 đường 17, Phường Tân Quy, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",105.8506131,21.0147736,Mass Merchant
2082,4501300687807117702,5459631265268959169,Coffee chains and Milk tea,CÔNG TY TNHH MỸ THỰC HƯNG THỊNH,"Số 128 Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Feeling Tea 11 Thanh Niên,"11 Thanh Niên, Hà Nội",105.846416,21.033637,Cafe
2129,6612168424670571656,266982520814551598,Mass Merchant,HỘ KINH DOANH BÁNH SU QUE ,"03 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM", BÁNH SU QUE-03 NGUYỄN HỮU CẦU,"3 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Mass Merchant
2135,3651275696711946632,8962046739780845509,Mass Merchant,Nhà Hàng Cơm Bún Bò Huế,"G23 Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",combunbohue1,MOMOHQCZ20181012,106.63381499999998,10.8075053,Mass Merchant
2137,3739863709641733769,6771889826250666679,Mass Merchant,TRÀ SỮA KUBIN,"35 Nguyễn Phúc Nguyên, Phường 10, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",tskubin123,MOMOHKD520181029,106.7290229,10.7466109,Mass Merchant
2139,3557087237674630794,6077081414689026247,Mass Merchant,PHỦI CAFE,"45 Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",PHỦI CAFE,"45 Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",,,Mass Merchant
2141,5145577884641562507,7697431996288600689,Mass Merchant,QUÁN ĂN GIA ĐÌNH,"41 Nguyễn Sơn Hà, Phường 5, Quận 3, HCM",quanangd123,MOMOKMM320180410,,,Mass Merchant
2143,3704863353937667980,3335060638004967054,Mass Merchant,Công ty Cổ Phần Thương Mại Và Dịch Vụ SBO Việt Nam,"11 Nhà H9, Tập thể trường Đại học Sư Phạm Hà Nội, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội, VIỆT NAM",Le Monde Steak - VINCOM BÀ TRIỆU,"GH - L5 - 01, Tòa A Vincom Center Bà Triệu,Lê Đại Hành, Hai Bà Trưng, Hà Nội",106.678196,10.76834,Mass Merchant
2153,7131454618245464461,2340467738035652881,Mass Merchant,CÀ PHÊ ANH,"39 Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",CÀ PHÊ ANH ,"39 Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",105.8120862,21.0268206,Mass Merchant
2155,1218391469448849037,7586200320179628920,Mass Merchant,CỬA HÀNG BÁNH MÌ SÀI GÒN - BURGERS VIETNAM,"Kiosque 144B chợ Tôn Thất Đạm, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",BÁNH MÌ SÀI GÒN,"80 Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh, Việt Nam",106.6733813,10.7624208,Mass Merchant
2159,3398611740160718989,3919889686402291073,Coffee chains and Milk tea,Công ty TNHH SXTM Phúc Long,"42/24 Đường 643 Tạ Quang Bửu, P.4, Q.8, TP HCM",Phúc Long Coffee & Tea House - 29 Ngô Đức kế						,"29 Ngô Đức Kế, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",105.843568,21.029394,Cafe
2196,5314294513087666829,8603760113750011470,Fast food,CÔNG TY CỔ PHẦN OTOKE CHICKEN,"34-36-38 Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1.",Otoké Đào Duy Từ,"31 Đào Duy Từ, Phường 5, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",105.85098700000002,21.031176,Fast food
2212,466473117467912334,5664965210231881350,Mass Merchant,Công ty TNHH Dịch Vụ Bình An Thiên,"98 Nguyễn Công Hoan, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM",Fruit Station,"18  Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.3620813,10.3605249,Mass Merchant
2214,8736972261938279055,8033090100392966550,Mass Merchant,MASTER TEA,"24B Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",Master Tea ( Trần Quốc Hoàn ),"Số 75 Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",106.711,10.808181,Mass Merchant
2218,7909444155349751696,8039485590265402569,Mass Merchant,Bác Tôm,"11 Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội, VIỆT NAM",chuoibactom1,MOMOXMCX20181225,,,Mass Merchant
2226,4187990291243504784,616367980582151984,Mass Merchant,TAKA TEA,"20 LÝ PHỤC MAN, Phường Bình Thuận, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",TAKA TEA LÝ PHỤC MAN,"20 LÝ PHỤC MAN, Phường Bình Thuận, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6532273,10.8008811,Mass Merchant
2228,2984103659215844752,3624627031228045483,Mass Merchant,Tào phớ lụa,"4 ngõ Bà Triệu Bà Triệu, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM",TAOPHOLUA1,"số 4 Ngõ Bà Triệu Bà Triệu, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",106.687313,10.783448,Mass Merchant
2230,4706569827812853649,6872515049355411954,Mass Merchant,THỰC PHẨM SẠCH GFOOD,"124 C1 Vĩnh Hồ, Phường Thịnh Quang, Quận Đống Đa, Hà Nội, VIỆT NAM",THỰC PHẨM SẠCH GFOOD,"124 C1 Vĩnh Hồ, Phường Thịnh Quang, Quận Đống Đa, Hà Nội, VIỆT NAM",105.8294848,21.0214807,Mass Merchant
2232,1108085817241120402,267971215539138849,Coffee chains and Milk tea,Gong Cha Đà Nẵng,"25-27-29 Nguyễn Văn Linh, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng, VIỆT NAM",2229,MOMOWRTL20181030,106.6733813,10.7624208,Cafe
2236,1336715627616364946,2262582684493795198,Mass Merchant,AMA KAFÉ NGÔ TẤT TỐ,"14B5 Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",amakafe1123,MOMO8JAQ20180529,106.6656982,10.8130933,Mass Merchant
2238,1210324986589931922,3967982132141971063,Mass Merchant,THE ALLEY -CMT8,"409 CMT8, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",thealleycmt81,"409 Cmt8, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",105.868467,21.0091379,Mass Merchant
2240,2097810288464482195,8241259043969025566,Mass Merchant,LAHA COFFEE,"343	Điện Biên Phủ, Phường 4, Quận 3, TP.Hồ Chí Minh",Laha Coffee Phan Xích Long Quận Phú Nhuận,"259 Phan Xích Long, Phường 2, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM",105.7888,21.032819,Mass Merchant
2260,1545673861537157524,836934722744571622,Mass Merchant,Bánh xxếp Hong Kong - SVH,"193 Sư Vạn Hạnh, Phường 9, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",banhxepsvh123,MOMO6BGS20180529,106.693239,10.763161,Mass Merchant
2262,3541717506902122133,6650537538557138503,Mass Merchant,Crepes K,"2/91 Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",crepesk123,MOMOGNFA20181024,105.7615252,,Mass Merchant
2263,1929318416976556438,10184776005018933,Supermarket,Công ty TNHH MTV Hội nhập phát triển Đông Hưng,"96 Cao Thắng, Phường 4, Quận 3, TPHCM, Việt Nam",AEON CITIMART NEW SÀI GÒN,"HAGL III, c/c New Sài Gòn, Nguyễn Hữu Thọ, H.Nhà Bè, TP.HCM",,,Supermarket
2306,6110808841565436310,5362114968104780903,Mass Merchant,Súp Cua Hoa,"106 Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, VIỆT NAM",Súp Cua Hoa,"106 Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, VIỆT NAM",,,Mass Merchant
2308,5350129378332776599,1499611372182685347,Coffee chains and Milk tea,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ  VƯỢNG HÀ HỒ CHÍ MINH,"1B  HUỲNH KHÚC KHÁNG, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Sharetea Nguyễn Sơn,"69A Nguyễn Sơn, Phường Tân Quý, Quận Tân Phú, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6962338,10.7732819,Cafe
2320,4664853655419287,4843709340688819480,Mass Merchant,SINH TỐ - NƯỚC ÉP - TRÀ SỮA - NHO XANH,"494 Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",nhoxanh123,MOMOB0AH20180420,105.852857,21.03221,Mass Merchant
2322,1155562636157432983,3994337596133547636,Supermarket,Lotte SPEED L Phú Thọ,"968 3 tháng 2, Phường 15, Quận 11, Thành Phố Hồ Chí Minh, VIỆT NAM",01503,LOTTE_MART,,,Supermarket
2355,1913003655301945239,2462606415657323183,Shopping,Công ty TNHH DOLL EYES,"22-24 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Dolleyes Lê Văn Sỹ,"305 Lê Văn Sỹ, Phường 13, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6639101,10.768887800000002,Shopping
2386,5051997657856298904,5725940404781346568,Restaurant,Công Ty TNHH Wang Wang Việt Nam,"Số 29 Bùi Huy Bích,Phường Hoàng Liệt,Quận Hoàng Mai,Thành Phố Hà Nội,Việt Nam",Công Ty TNHH Wang Wang Việt Nam,"Nhà B14 KĐT Pandora Số 53,Triều Khúc,Tân Triều,Thanh Trì,Hà Nội",,,bbq
2392,2679274209015806104,5225721030721520413,Mass Merchant,Cơm Tám Đại Dương,"4 ngõ 49 Vĩnh Hồ, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội, VIỆT NAM",comtamdaiduong1,MOMOFLO120181017,,,Mass Merchant
2393,7867067114832483993,698364295617003563,Mass Merchant,SNOW BINGS,"169 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",snowbings169,MOMOY7CK20180830,106.701392,10.750724,Mass Merchant
2394,5903031011860056729,1040983175555689736,Coffee chains and Milk tea,Cheese Coffee Thành Thái,"154 Thành Thái, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",cchcmtt01,MOMOGYSM20181226,105.8487299,21.0291199,Cafe
2410,4470526277233866905,3704667948774262201,Mass Merchant,BĐ Ất Sửu,"95 Đinh Tiên Hoàng, Đa Kao, Quận 1, Hồ Chí Minh",bundauatsuu123,MOMOVSBX20180423,106.7041397,10.7746038,Mass Merchant
2412,6072842575474785945,5408985646046259413,Mass Merchant,Cơm Huệ,"152 Thụy Khuê, Yên Phụ, Quận Tây Hồ, Hà Nội, VIỆT NAM",comhue1,MOMOGNMZ20180928,,,Mass Merchant
2414,5987226984921572762,5492054632653505424,Mass Merchant,HỘ KINH DOANH HAPPY BABY SPA,"117 đường 23/10, Phường Phương Sơn, Tp.Nha Trang, Khánh Hòa",HAPPY BABY SPA,"117 Đường 23/10, Phường Phương Sơn, Thành phố Nha Trang, Khánh Hòa, VIỆT NAM",106.6786361,10.830605,Mass Merchant
2416,4700759708176429466,7461855809556310762,Mass Merchant,ẨM THỰC CHAY RAU CỦ QUẢ VEGETA,"684 ĐIỆN BIÊN PHỦ, Phường 10, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",ẨM THỰC CHAY VEGETA,"684 ĐIỆN BIÊN PHỦ, Phường 10, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Mass Merchant
2418,1612603502379132058,6958922612265920635,Mass Merchant,CÔNG TY TNHH TRÀ SỮA THÙY TRANG,"11B Trần Cao Vân, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",THE ALLEY TRẦN CAO VÂN,"11B Trần Cao Vân, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.696404,10.766531,Mass Merchant
2420,2321309504684175259,8700246996364308488,Mass Merchant,Êmm Drink,"76 Tôn Thất Tùng, Phường Khương Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",emmdrink1,MOMOLDS020180917,105.86257,21.022506,Mass Merchant
2422,608997457753305243,8283696096952170531,Mass Merchant,Lẩu laksa,"1 ngõ 117 Thái hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",laulaksa2,MOMOMNLL20181101,106.630247,10.781518,Mass Merchant
2424,2034451288005972123,8480123623745918858,Mass Merchant,CÀ PHÊ MILANO HIMLAM.,"B5 Đường 4D KDC Him Lam, Phường Tân Hưng, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",caphemilanohimlam1,MOMOCQFA20181219,,,Mass Merchant
2426,6635502366708133531,228873345217803866,Mass Merchant,TRÀ SỮA ABC,"193/9 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",trasuaabc1,MOMOFYWO20181022,106.7118202,10.7443744,Mass Merchant
2430,2453347438393803164,269664348318984473,Mass Merchant,Lá Còn Xanh Shop,"2  Lê Duẩn, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",laconxanh,MOMODUZY20180624,106.8471768,10.9568489,Mass Merchant
2431,922770840377832605,4610911176590984677,Restaurant,CÔNG TY TNHH MTV NHÀ HÀNG HOÀNG YẾN,"148 Hai Bà Trưng, phường Đa Kao, Thành phố Hồ Chí Minh, Việt Nam",Chảo Cá - VivoCity,"Tầng 02, SC VivoCity, 1058 Nguyễn Văn Linh, P.Tân Phong, Q.7, TP.HCM",106.689229,10.776309,foodcourt
2441,4304572831211605661,4898428615647677077,Mass Merchant,FRUZII COFFEE,"21 Trần Thị Nghĩ, Phường 7, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM",fruziicoffeenk,"679 Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Mass Merchant
2447,5233423985952720797,6989338700254407047,Mass Merchant,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI CHẤN KHANG,"74 - 74b cao thắng, Phường 4, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",SWEETHOME BAKERY NS,"194 NGUYỄN SƠN, Phường Phú Thọ Hòa, Quận Tân Phú, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Mass Merchant
2463,7831908147248642718,127968840784358873,Mass Merchant,Say coffee - SVH,"754 - 756 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",saysvh123,MOMO4IVI20180601,106.672413,10.778615,Mass Merchant
2465,3947794641222203294,6661104330135907421,Mass Merchant,Chân Gà Rang Muối,"334 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",changarangmuoi1,MOMOMR2V20181103,106.71019579999998,,Mass Merchant
2466,6721693733825645470,2476717931865974070,Mass Merchant,Cô Nguyệt Quán,"43 Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP Hồ Chí Minh",CÔ NGUYỆT QUÁN,"43 Đinh Tiên Hoàng, Đa Kao, Quận 1, Hồ Chí Minh",106.6812645,10.7786187,Mass Merchant
2468,6058953605927254686,1166100659187311481,Mass Merchant,Quán Bún Đậu Vân Lùn,"245/10 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",bundauvanlun,MOMOYURP20180621,106.670364,10.7794329,Mass Merchant
2469,4719769865534913696,5638310606508464639,Coffee chains and Milk tea,Pepperonis Trần Phú,"14 Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội, VIỆT NAM",peperoni14tp,MOMOA90X20180611,106.7037421,10.7398316,Cafe
2493,3615982237552954784,2933327615732895028,Coffee chains and Milk tea,CÔNG TY TNHH KOI CAFE VIỆT NAM,"Phòng 1601, Tháp Royal Centre, 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM", KOI THÉ VINCOM,"Vincom Mega Mall, số 161  Xa Lộ Hà Nội, KP1, Phường Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM",105.85526000000002,21.02294,Cafe
2536,7269666266945019297,3345800083880418984,Coffee chains and Milk tea,Chi Nhánh Công ty TNHH Đức Nhân  Đà Nẵng,"208 Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng, VIỆT NAM",Al Fresco's Vincom Đà Nẵng,"910A Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, VIỆT NAM",106.626168,10.757447,Cafe
2542,8784503040925972898,1138843023379190677,Mass Merchant,DELI COFFEE,"Số 5 ngõ 131 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",delicoffee1,MOMOMIAE20181118,106.6651163,10.7787147,Mass Merchant
2544,4476621886561365668,5031335801573529585,Mass Merchant,chesauthegiao1,"số 151 Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội, VIỆT NAM",chesauthegiao1,MOMORA5T20180724,,,Mass Merchant
2545,1519391066364067495,5910892335216598099,Mass Merchant,SIÊU THỊ THỰC PHẨM SẠCH FALA,"304 3/2, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",SIÊU THỊ THỰC PHẨM SẠCH FALA,"304 3/2, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.671794,10.782809,Mass Merchant
2547,1728621666524296615,522399284898373717,Mass Merchant,The Hungry Pig .,"144 Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",quananhungrypig,MOMOK3Z020180907,,,Mass Merchant
2548,6190291769435275431,7046395183284618631,Mass Merchant,Kim Chí Quán ,"27 ngõ 49 Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",Kim Chí Quán Nguyên Hồng,"27 ngõ 49 Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",106.38086090000002,10.235031,Mass Merchant
2550,3212306419124035752,1711964211306110475,Restaurant,OVEN D'OR RESTAURANT,"Nghi Tàm, Quảng An, Tây Hồ, Hà Nội, Việt Nam",SH2,MOMOG7DH20190311,105.8391824,21.008427800000003,buffet
2552,4736617612607365545,6571622827835272015,Fast food,CÔNG TY CỔ PHẦN PIZZA NGON,"77 Trần Nhân Tôn , Phường 9, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM",TPC Nguyễn Thái Học,"105-107 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.692353,10.786967,Fast food
2580,4223642432792532905,8670502788007126223,Mass Merchant,Fabi Mart,"Ô Số 2 -SO1-CT3 Khu Đô Thị Mới An Hưng, Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội, VIỆT NAM",fabimart11,MOMOWJ1J20181228,105.844027,20.992117,Mass Merchant
2582,5856558760800761258,7525831574912681871,Mass Merchant,Trà Sữa The MilTea Guy,"006 Lô F Chung cư Ngô Gia Tự, Phường 3, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",themilkteaguy1,MOMOE6IJ20180912,105.823165,21.014948,Mass Merchant
2584,642428637310777258,7997036188457379434,Mass Merchant,Công ty TNHH lương thực và thực phẩm Miefood ,"12 ngách 5  ngõ 178 Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",Mie Food,"12 Đặng tiến đông , Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",,,Mass Merchant
2586,6867086828130189483,7811045477820010549,Fast food,Toocha Phan Văn Trị,"366A23-A24  P5 Quận Gò Vấp Phan Văn Trị, Phường 5, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM",7090,MOMO8O3B20180521,106.618393,10.801787,Fast food
2637,5349216268372867755,8267882623251187292,Mass Merchant,Bún Đậu Cầu Gỗ - Lê Đại Hành,"281	Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh",bundaucaugo281,MOMOUR5W20180424,105.852095,21.019741,Mass Merchant
2643,1413807917068409262,1221864307983247521,Fast food,CÔNG TY CỔ PHẦN THỰC PHẨM BLUE STAR,"424A Nguyễn Thị Minh Khai, Phường 5, Quận 3, Tp.HCM",Baskin Robbins Lê Văn Sỹ,"357 Lê Văn Sỹ, P.1, Quận Tân Bình",,,Fast food
2661,1560616255241742510,3840688517334867208,Supermarket,CÔNG TY TNHH MỘT THÀNH VIÊN BÁCH HÓA SÀI GÒN CO.OP,"199-205 Nguễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",CO.OPSMILE - 71 TRẦN KẾ XƯƠNG,"71 Trần Kế Xương, P.7, Q.Phú Nhuận, Thành Phố Hồ Chí Minh, Việt Nam",105.851445,21.025089,Supermarket
