,service_id,store_id,category,merchant_name,merchant_address,store_name,store_address,longitude,latitude,specific
1590,9105773273715501159,3451600018671449858,Mass Merchant,CÔNG TY TNHH MTV THỰC PHẨM SAIGON CO.OP,"199-205 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",COOP FOOD NGUYỄN CỬU ĐÀM,"16 Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Thành Phố Hồ Chí Minh, VIỆT NAM",106.7184008,10.794053300000002,Mass Merchant
1660,7270982136367221864,4307102106283250202,Mass Merchant,Công ty TNHH Thương Mại Dịch Vụ Sản Xuất Hoa Hướng Dương,"116 Võ Thành Trang, Phường 11, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",Hoa Hướng Dương - Bành Văn Trân,"141 Bành Văn Trân, Phường 7, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",105.4408155,10.376561,Mass Merchant
1674,7261616585863472745,1844753641980859244,Fast food,CÔNG TY CỔ PHẦN SOYA GARDEN,"19 Hoa Bằng, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội, VIỆT NAM",Soya Garden - Mỹ Đình Plaza 2,"2  Nguyễn Hoàng, Xã Mỹ Đình, Huyện Từ Liêm, Hà Nội, VIỆT NAM",106.6831489,10.781295,Fast food
1697,4151212544567892073,5228200351794564086,CVS,Circle K Mobay,"Số 1 Lô A6, Khu đô thị mới phía đông Hòn Cặp Bè, tổ 4, khu 4A, Phường Hồng Hải, Thành phố Hạ Long, Tỉnh Quảng Ninh, VIỆT NAM",4001,MOMOJ9KX20190419,,,CVS
1699,745531510797296233,2117196657926399299,Mass Merchant,Bún Chả Tùng Lâm.,"84 Trương Quyền, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",bunchatunglam123,MOMO7GPO20181015,,,Mass Merchant
1701,750556993121044330,1659216208796894485,Mass Merchant,TRÀ SỮA AUNTIE KIM 3/2 Q10,"643 3/2, Phường 6, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",trasuaauntiekim123,MOMOBZFQ20180726,105.8473777,21.041797100000004,Mass Merchant
1703,1136811934461115501,2587955115655920034,Mass Merchant,CAFE LEO,"487/57 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",cafeleo39123,MOMOHTOC20181116,,,Mass Merchant
1704,5610008375107306861,3815338996251656287,Fast food,PastaMania Vạn Hạnh Mall,"GH 6-17, Tầng 6, Tòa nhà TTTM Vạn hạnh, Số 11 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",17,MOMOO8QJ20180621,106.7301213,10.738098,Fast food
1734,2943732258825304685,3803059903881046546,Mass Merchant,Công Ty TNHH TMDV Vườn Rau Chấm Com,"14B Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Công Ty tnhh tmdv Vườn Rau Chấm Com,"14B Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.4055173,10.537497300000002,Mass Merchant
1736,1366486654528010094,528739887900839461,Mass Merchant,Discovery Corners Coffee,"115/3  Võ Thị Sáu, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",dcvrcncoffee123,MOMO34KQ20180517,105.847845,21.017747,Mass Merchant
